year,event_date_start,event_date_end,province,municipality,commodity,disaster_type_raw,disaster_category,disaster_name,area_partially_damaged_ha,area_totally_damaged_ha,area_total_affected_ha,farmers_affected,losses_php_production_cost,losses_php_farm_gate,losses_php_grand_total,sanitation_remarks,source_row_number,error_reason
2012,2012-03-26,2012-03-28,CAPIZ,Cuartero,Corn,FLOODING / TYPHOON / DRY SPELL,ITCZ,ITCZ induced Flash Flooding,75.0,20.0,90.0,120.0,60951.0,542000.0,602951.0,"Parsed from 'Month Day-Day, Year' format.",412,Area inconsistency: Partial(75.0) + Totally(20.0) != Total(90.0).
2013,2013-10-04,2013-10-06,NEGROS OCCIDENTAL,City of Sipalay,Fisheries,FLOODING / TYPHOON / DRY SPELL,EASTERLIES,Easterlies induced Flooding,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",449,Missing or zero Grand Total for PHP loss.
2013,2013-10-04,2013-10-06,NEGROS OCCIDENTAL,Binalbagan,Fisheries,FLOODING / TYPHOON / DRY SPELL,EASTERLIES,Easterlies induced Flooding,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",450,Missing or zero Grand Total for PHP loss.
2013,2013-11-08,2013-11-08,ILOILO,Calinog,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,SuTY Yolanda 2013 induced Flooding,1.0,25.45,25.45,65.0,116700.0,351000.0,467700.0,Parsed as a single day event.,645,Area inconsistency: Partial(1.0) + Totally(25.45) != Total(25.45).
2013,2013-11-08,2013-11-08,ILOILO,Janiuay,Corn,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,SuTY Yolanda 2013 induced Flooding,42.75,62.0,100.75,131.0,239211.56,1857000.0,2096211.56,Parsed as a single day event.,691,Area inconsistency: Partial(42.75) + Totally(62.0) != Total(100.75).
2013,2013-11-08,2013-11-08,ILOILO,Badiangan,HVC,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,SuTY Yolanda 2013 induced Flooding,2760.0,383.0,3120.63,107.0,0.0,2996626.0,2996626.0,Parsed as a single day event.,710,Area inconsistency: Partial(2760.0) + Totally(383.0) != Total(3120.63).
2013,2013-11-08,2013-11-08,ILOILO,Calinog,HVC,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,SuTY Yolanda 2013 induced Flooding,163179.75,822.42,163807.17,1505.0,30000.0,40576070.0,40606070.0,Parsed as a single day event.,718,Area inconsistency: Partial(163179.75) + Totally(822.42) != Total(163807.17).
2014,2014-07-15,2014-07-15,ANTIQUE,,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Glenda 2014 induced Flooding,1430.85,1375.15,0.0,0.0,0.0,0.0,0.0,Parsed as a single day event.,869,Missing or zero Grand Total for PHP loss.
2014,2014-07-15,2014-07-15,NEGROS OCCIDENTAL,,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Glenda 2014 induced Flooding,829.34,682.49,0.0,0.0,0.0,0.0,0.0,Parsed as a single day event.,870,Missing or zero Grand Total for PHP loss.
2014,2014-07-15,2014-07-15,NEGROS OCCIDENTAL,,Corn,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Glenda 2014 induced Flooding,49.25,49.25,0.0,0.0,0.0,0.0,0.0,Parsed as a single day event.,871,Missing or zero Grand Total for PHP loss.
2014,2014-07-15,2014-07-15,NEGROS OCCIDENTAL,,HVC,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Glenda 2014 induced Flooding,12.96,12.96,0.0,0.0,0.0,0.0,0.0,Parsed as a single day event.,872,Missing or zero Grand Total for PHP loss.
2014,2014-12-07,2014-12-08,AKLAN,,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Ruby 2014 induced Flooding,122.75,421.0,122.75,231.0,0.0,0.0,10412.5,"Parsed from 'Month Day-Day, Year' format.",875,Area inconsistency: Partial(122.75) + Totally(421.0) != Total(122.75).
2014,2014-12-07,2014-12-08,ANTIQUE,,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Ruby 2014 induced Flooding,1208.2,5712.0,1208.2,1944.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",876,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(1208.2) + Totally(5712.0) != Total(1208.2).
2014,2014-12-07,2014-12-08,CAPIZ,,Rice,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Ruby 2014 induced Flooding,10607.0,26665.0,11191.0,25250.0,0.0,0.0,5956800.0,"Parsed from 'Month Day-Day, Year' format.",877,Area inconsistency: Partial(10607.0) + Totally(26665.0) != Total(11191.0).
2014,2014-12-07,2014-12-08,CAPIZ,,Corn,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Ruby 2014 induced Flooding,0.0,4030.0,1270.0,3801.0,0.0,0.0,5520000.0,"Parsed from 'Month Day-Day, Year' format.",878,Area inconsistency: Partial(0.0) + Totally(4030.0) != Total(1270.0).
2014,2014-12-07,2014-12-08,CAPIZ,,HVC,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Ruby 2014 induced Flooding,0.0,0.0,16020.0,0.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",879,Missing or zero Grand Total for PHP loss.
2014,2014-12-07,2014-12-08,NEGROS OCCIDENTAL,,Corn,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY Ruby 2014 induced Flooding,53.44,0.0,0.0,0.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",881,Missing or zero Grand Total for PHP loss.
