year,event_date_start,event_date_end,province,municipality,psgc_code,commodity,disaster_type_raw,disaster_category,disaster_name,area_partially_damaged_ha,area_totally_damaged_ha,area_total_affected_ha,farmers_affected,losses_php_production_cost,losses_php_farm_gate,losses_php_grand_total,sanitation_remarks,source_row_number,error_reason
,,,ILOILO,ALIMODIAN,603002000,HVC,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,RAIN INDUCED LANDSLIDE,0.0,2262.2,2262.2,25.0,0.0,627750.0,0.0,Invalid start month name,355,"Unparseable date: 'July 25 and 28, 2012' (Invalid start month name); Missing or zero Grand Total for PHP loss."
,,,ILOILO,TUBUNGAN,603046000,HVC,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,RAIN INDUCED LANDSLIDE,0.0,0.2,0.2,6.0,0.0,36000.0,0.0,Invalid start month name,356,"Unparseable date: 'July 25 and 28, 2012' (Invalid start month name); Missing or zero Grand Total for PHP loss."
2012,2012-07-20,2012-07-23,NEGROS OCCIDENTAL,VALLADOLID,604530000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY FERDIE 2012 INDUCED FLASH FLOODING,48.0,0.0,48.0,48.0,0.0,260700.0,0.0,"Parsed from 'Month Day-Day, Year' format.",358,Missing or zero Grand Total for PHP loss.
2012,2012-03-26,2012-03-28,CAPIZ,CUARTERO,601901000,CORN,FLOODING / TYPHOON / DRY SPELL,ITCZ,ITCZ INDUCED FLASH FLOODING,75.0,20.0,90.0,120.0,60951.0,542000.0,602951.0,"Parsed from 'Month Day-Day, Year' format.",412,Area inconsistency: Partial(75.0) + Totally(20.0) != Total(90.0).
2013,2013-10-04,2013-10-06,NEGROS OCCIDENTAL,CITY OF SIPALAY,604527000,FISHERIES,FLOODING / TYPHOON / DRY SPELL,EASTERLIES,EASTERLIES INDUCED FLOODING,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",449,Missing or zero Grand Total for PHP loss.
2013,2013-10-04,2013-10-06,NEGROS OCCIDENTAL,BINALBAGAN,604503000,FISHERIES,FLOODING / TYPHOON / DRY SPELL,EASTERLIES,EASTERLIES INDUCED FLOODING,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",450,Missing or zero Grand Total for PHP loss.
2013,2013-11-08,2013-11-08,ILOILO,CALINOG,603013000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,SUTY YOLANDA 2013 INDUCED FLOODING,1.0,25.45,25.45,65.0,116700.0,351000.0,467700.0,Parsed as a single day event.,645,Area inconsistency: Partial(1.0) + Totally(25.45) != Total(25.45).
2013,2013-11-08,2013-11-08,ILOILO,JANIUAY,603023000,CORN,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,SUTY YOLANDA 2013 INDUCED FLOODING,42.75,62.0,100.75,131.0,239211.56,1857000.0,2096211.56,Parsed as a single day event.,691,Area inconsistency: Partial(42.75) + Totally(62.0) != Total(100.75).
2013,2013-11-08,2013-11-08,ILOILO,BADIANGAN,603004000,HVC,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,SUTY YOLANDA 2013 INDUCED FLOODING,2760.0,383.0,3120.63,107.0,0.0,2996626.0,2996626.0,Parsed as a single day event.,710,Area inconsistency: Partial(2760.0) + Totally(383.0) != Total(3120.63).
2013,2013-11-08,2013-11-08,ILOILO,CALINOG,603013000,HVC,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,SUTY YOLANDA 2013 INDUCED FLOODING,163179.75,822.42,163807.17,1505.0,30000.0,40576070.0,40606070.0,Parsed as a single day event.,718,Area inconsistency: Partial(163179.75) + Totally(822.42) != Total(163807.17).
