year,event_date_start,event_date_end,province,municipality,psgc_code,commodity,disaster_type_raw,disaster_category,disaster_name,area_partially_damaged_ha,area_totally_damaged_ha,area_total_affected_ha,farmers_affected,losses_php_production_cost,losses_php_farm_gate,losses_php_grand_total,sanitation_remarks,source_row_number,error_reason
2014,2014-12-29,2014-12-29,NEGROS OCCIDENTAL,BINALBAGAN,604503000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY SENIANG 2014 INDUCED FLOODING,59.0,0.0,59.0,0.0,117010.33,420849.6,0.0,Parsed as a single day event.,926,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,NEGROS OCCIDENTAL,HINIGARAN,604511000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY SENIANG 2014 INDUCED FLOODING,856.96,0.0,856.96,0.0,2044932.0,8000128.0,0.0,Parsed as a single day event.,927,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,NEGROS OCCIDENTAL,PULUPANDAN,604522000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY SENIANG 2014 INDUCED FLOODING,38.25,2.5,40.75,0.0,45600.0,822400.0,0.0,Parsed as a single day event.,928,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,NEGROS OCCIDENTAL,VALLADOLID,604530000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY SENIANG 2014 INDUCED FLOODING,338.02,0.0,338.02,0.0,549487.41,1745408.0,0.0,Parsed as a single day event.,929,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,604508000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY SENIANG 2014 INDUCED FLOODING,20.15,0.65,20.8,0.0,41400.0,253600.0,0.0,Parsed as a single day event.,930,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,NEGROS OCCIDENTAL,CITY OF SAN CARLOS,604524000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY SENIANG 2014 INDUCED FLOODING,30.25,0.0,30.25,0.0,0.0,1733400.0,0.0,Parsed as a single day event.,931,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,NEGROS OCCIDENTAL,HINOBA-AN,604512000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY SENIANG 2014 INDUCED FLOODING,113.0,0.0,113.0,0.0,0.0,2408400.0,0.0,Parsed as a single day event.,932,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,NEGROS OCCIDENTAL,CITY OF VICTORIAS,604531000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY SENIANG 2014 INDUCED FLOODING,69.95,0.0,69.95,0.0,308610.0,2332400.0,0.0,Parsed as a single day event.,933,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,NEGROS OCCIDENTAL,CAUAYAN,604507000,CORN,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY SENIANG 2014 INDUCED FLOODING,5.6,0.0,5.6,0.0,0.0,63000.0,0.0,Parsed as a single day event.,935,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,NEGROS OCCIDENTAL,CITY OF HIMAMAYLAN,604510000,CORN,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY SENIANG 2014 INDUCED FLOODING,0.0,1.0,1.0,0.0,0.0,45000.0,0.0,Parsed as a single day event.,936,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,NEGROS OCCIDENTAL,CITY OF CADIZ,604504000,CORN,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY SENIANG 2014 INDUCED FLOODING,0.0,1.0,1.0,0.0,12000.0,0.0,0.0,Parsed as a single day event.,937,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,NEGROS OCCIDENTAL,HINIGARAN,604511000,CORN,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY SENIANG 2014 INDUCED FLOODING,0.3,0.0,0.3,0.0,1350.0,0.0,0.0,Parsed as a single day event.,938,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,NEGROS OCCIDENTAL,CITY OF SIPALAY,604527000,HVC,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY SENIANG 2014 INDUCED FLOODING,15000.0,0.0,15000.0,0.0,0.0,337500.0,0.0,Parsed as a single day event.,939,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,NEGROS OCCIDENTAL,CITY OF HIMAMAYLAN,604510000,HVC,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY SENIANG 2014 INDUCED FLOODING,50.0,75.0,125.0,0.0,0.0,65000.0,0.0,Parsed as a single day event.,940,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,NEGROS OCCIDENTAL,CITY OF VICTORIAS,604531000,HVC,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY SENIANG 2014 INDUCED FLOODING,0.0,175.0,175.0,0.0,0.0,105000.0,0.0,Parsed as a single day event.,941,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,NEGROS OCCIDENTAL,CITY OF CADIZ,604504000,HVC,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY SENIANG 2014 INDUCED FLOODING,124.79,0.0,124.79,0.0,0.0,1399448.0,0.0,Parsed as a single day event.,942,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,NEGROS OCCIDENTAL,HINIGARAN,604511000,HVC,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY SENIANG 2014 INDUCED FLOODING,4.8,4.85,9.65,0.0,0.0,1280150.0,0.0,Parsed as a single day event.,943,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,NEGROS OCCIDENTAL,VALLADOLID,604530000,HVC,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY SENIANG 2014 INDUCED FLOODING,5.0,0.0,5.0,0.0,0.0,220900.0,0.0,Parsed as a single day event.,944,Missing or zero Grand Total for PHP loss.
2014,2014-12-29,2014-12-29,NEGROS OCCIDENTAL,PULUPANDAN,604522000,HVC,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY SENIANG 2014 INDUCED FLOODING,2.65,7.89,10.54,0.0,0.0,1815725.0,0.0,Parsed as a single day event.,945,Missing or zero Grand Total for PHP loss.
2017,2017-12-31,2018-01-01,CAPIZ,TAPAZ,601917000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TD AGATON 2017 INDUCED FLOODING,47.62,4.8,52.419999999999995,61.0,0.0,0.0,0.0,Parsed as a standard date range.,1129,Missing or zero Grand Total for PHP loss.
2017,2017-12-31,2018-01-01,CAPIZ,IVISAN,601905000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TD AGATON 2017 INDUCED FLOODING,58.0,0.0,58.0,79.0,0.0,0.0,0.0,Parsed as a standard date range.,1132,Missing or zero Grand Total for PHP loss.
2017,2017-12-31,2018-01-01,CAPIZ,DAO,601902000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TD AGATON 2017 INDUCED FLOODING,0.0,2715.0,2715.0,3165.0,0.0,0.0,0.0,Parsed as a standard date range.,1134,Missing or zero Grand Total for PHP loss.
2017,2017-12-31,2018-01-01,CAPIZ,MA-AYON,601907000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TD AGATON 2017 INDUCED FLOODING,487.0,1135.0,1622.0,1290.0,0.0,0.0,0.0,Parsed as a standard date range.,1139,Missing or zero Grand Total for PHP loss.
2019,2019-12-24,2019-12-26,GUIMARAS,,,COCONUT,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY URSULA 2019 INDUCED FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",1579,Missing essential field (municipality).; Missing or zero Grand Total for PHP loss.
2019,2019-12-24,2019-12-26,NEGROS OCCIDENTAL,SALVADOR BENEDICTO,604532000,COCONUT,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY URSULA 2019 INDUCED FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",1657,Missing or zero Grand Total for PHP loss.
2019,2019-12-24,2019-12-26,NEGROS OCCIDENTAL,CITY OF CADIZ,604504000,COCONUT,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY URSULA 2019 INDUCED FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",1661,Missing or zero Grand Total for PHP loss.
2019,2019-12-24,2019-12-26,NEGROS OCCIDENTAL,LA CASTELLANA,604517000,COCONUT,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY URSULA 2019 INDUCED FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",1673,Missing or zero Grand Total for PHP loss.
2020,2020-08-08,2020-08-10,ANTIQUE,TIBIAO,600617000,RICE,FLOODING / TYPHOON / DRY SPELL,SOUTHWEST MONSOON,ENHANCED SOUTHWEST MONSOON,8.05,0.0,8.05,14.0,0.0,52325.0,0.0,"Parsed from 'Month Day-Day, Year' format.",1679,Missing or zero Grand Total for PHP loss.
2020,2020-08-08,2020-08-10,ANTIQUE,HAMTIC,600608000,RICE,FLOODING / TYPHOON / DRY SPELL,SOUTHWEST MONSOON,ENHANCED SOUTHWEST MONSOON,28.12,0.0,28.12,37.0,0.0,744672.0,0.0,"Parsed from 'Month Day-Day, Year' format.",1680,Missing or zero Grand Total for PHP loss.
2020,2020-09-14,2020-09-14,ILOILO,DINGLE,603016000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TS LEON 2020 INDUCED FLOODING,197.5,1.75,199.5,226.0,43750.0,4021030.0,4064780.0,Parsed from a native Excel date format.,1704,Area inconsistency: Partial(197.5) + Totally(1.75) != Total(199.5).
2020,2020-10-23,2020-10-26,ILOILO,DINGLE,603016000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY QUINTA 2020 INDUCED FLOODING,168.85,201.35,210.1,452.0,4112251.31,0.0,4112251.31,"Parsed from 'Month Day-Day, Year' format.",1745,Area inconsistency: Partial(168.85) + Totally(201.35) != Total(210.1).
2020,2020-10-23,2020-10-26,NEGROS OCCIDENTAL,HINIGARAN,604511000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY QUINTA 2020 INDUCED FLOODING,0.0,5.8,283.37,325.0,3307535.0,200096.0,3507631.0,"Parsed from 'Month Day-Day, Year' format.",1785,Area inconsistency: Partial(0.0) + Totally(5.8) != Total(283.37).
2020,2020-12-02,2020-12-02,ILOILO,BANATE,603006000,RICE,FLOODING / TYPHOON / DRY SPELL,ITCZ,FRONTAL SYSTEM (TAIL-END) INDUCED FLOODING,77.0,0.0,80.71,69.0,209023.9,1846910.0,2055933.9,Parsed from a native Excel date format.,1788,Area inconsistency: Partial(77.0) + Totally(0.0) != Total(80.71).
2021,2021-01-08,2021-01-18,CAPIZ,PANITAN,601910000,CORN,FLOODING / TYPHOON / DRY SPELL,ITCZ,FRONTAL SYSTEM (TAIL-END) INDUCED FLASH FLOODING,40.0,0.0,40.0,0.0,600000.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",1824,Missing or zero Grand Total for PHP loss.
2021,2021-01-08,2021-01-18,NEGROS OCCIDENTAL,CITY OF TALISAY,604528000,FISHERIES (AQUACULTURE),FLOODING / TYPHOON / DRY SPELL,ITCZ,FRONTAL SYSTEM (TAIL-END) INDUCED FLASH FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",1846,Missing or zero Grand Total for PHP loss.
2021,2021-01-08,2021-01-18,NEGROS OCCIDENTAL,CITY OF VICTORIAS,604531000,FISHERIES (AQUACULTURE),FLOODING / TYPHOON / DRY SPELL,ITCZ,FRONTAL SYSTEM (TAIL-END) INDUCED FLASH FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",1849,Missing or zero Grand Total for PHP loss.
2021,2021-07-01,2021-08-31,ILOILO,JANIUAY,603023000,RICE,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,LOCALIZED DRY SPELL,1391.67,1.0,1391.67,1814.0,1800681.5,26527188.8,28327870.3,Parsed from month-only range; assumed full month coverage.,1938,Area inconsistency: Partial(1391.67) + Totally(1.0) != Total(1391.67).
2021,2021-09-06,2021-09-08,AKLAN,MALAY,600412000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY JOLINA 2021 INDUCED FLOODING,6.52,2.43,5.13,18.0,0.0,295394.4,295394.4,"Parsed from 'Month Day-Day, Year' format.",1965,Area inconsistency: Partial(6.52) + Totally(2.43) != Total(5.13).
2021,2021-10-09,2021-10-11,NEGROS OCCIDENTAL,VALDERRAMA,,CORN,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS MARING 2021 INDUCED FLOODING,1.15,0.0,1.15,2.0,15333.33,0.0,15333.33,"Parsed from 'Month Day-Day, Year' format.",2057,PSGC code not found for province/municipality: 'NEGROS OCCIDENTAL' / 'VALDERRAMA'.
2021,2021-10-09,2021-10-11,NEGROS OCCIDENTAL,HAMTIC,,CORN,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS MARING 2021 INDUCED FLOODING,5.13,0.0,5.13,10.0,0.0,174250.0,174250.0,"Parsed from 'Month Day-Day, Year' format.",2058,PSGC code not found for province/municipality: 'NEGROS OCCIDENTAL' / 'HAMTIC'.
2021,2021-12-16,2021-12-18,AKLAN,TANGALAN,600417000,COCONUT,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY ODETTE 2021 INDUCED FLOODING,0.72027972027972,0.0,0.72027972027972,0.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",2408,Missing or zero Grand Total for PHP loss.
2021,2021-12-16,2021-12-18,ANTIQUE,SAN JOSE,600613000,COCONUT,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY ODETTE 2021 INDUCED FLOODING,1.3986013986014,0.0,1.3986013986014,0.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",2414,Missing or zero Grand Total for PHP loss.
2021,2021-12-16,2021-12-18,ANTIQUE,SIBALOM,600616000,COCONUT,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY ODETTE 2021 INDUCED FLOODING,1.3986013986014,0.0,1.3986013986014,0.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",2416,Missing or zero Grand Total for PHP loss.
2021,2021-12-16,2021-12-18,ANTIQUE,TIBIAO,600617000,COCONUT,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY ODETTE 2021 INDUCED FLOODING,0.755244755244755,0.0,0.755244755244755,0.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",2417,Missing or zero Grand Total for PHP loss.
2021,2021-12-16,2021-12-18,ANTIQUE,TOBIAS FORNIER,600607000,COCONUT,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY ODETTE 2021 INDUCED FLOODING,1.74825174825175,0.0,1.74825174825175,0.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",2418,Missing or zero Grand Total for PHP loss.
2021,2021-12-16,2021-12-18,ILOILO,ESTANCIA,603019000,FISHERIES (CAPTURE FISHERIES),FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY ODETTE 2021 INDUCED FLOODING,0.0,0.0,103.0,103.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",2472,Missing or zero Grand Total for PHP loss.
2021,2021-12-16,2021-12-18,ANTIQUE,ANTIQUE ROS,,"AGRICULTURAL INFRASTRUCTURES (FARM STRUCTURES, ROS)",FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY ODETTE 2021 INDUCED FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,59800.0,"Parsed from 'Month Day-Day, Year' format.",2530,PSGC code not found for province/municipality: 'ANTIQUE' / 'ANTIQUE ROS'.
2021,2021-12-16,2021-12-18,GUIMARAS,GUIMARAS ROS,,"AGRICULTURAL INFRASTRUCTURES (FARM STRUCTURES, ROS)",FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY ODETTE 2021 INDUCED FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,690000.0,"Parsed from 'Month Day-Day, Year' format.",2533,PSGC code not found for province/municipality: 'GUIMARAS' / 'GUIMARAS ROS'.
2021,2021-12-16,2021-12-18,NEGROS OCCIDENTAL,NEGROS OCC ROS (LA CARLOTA),,"AGRICULTURAL INFRASTRUCTURES (FARM STRUCTURES, ROS)",FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY ODETTE 2021 INDUCED FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,1155000.0,"Parsed from 'Month Day-Day, Year' format.",2540,PSGC code not found for province/municipality: 'NEGROS OCCIDENTAL' / 'NEGROS OCC ROS (LA CARLOTA)'.
2021,2021-12-16,2021-12-18,NEGROS OCCIDENTAL,NEGROS OCC ROS (HIMAMAYLAN),,"AGRICULTURAL INFRASTRUCTURES (FARM STRUCTURES, ROS)",FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY ODETTE 2021 INDUCED FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,680000.0,"Parsed from 'Month Day-Day, Year' format.",2541,PSGC code not found for province/municipality: 'NEGROS OCCIDENTAL' / 'NEGROS OCC ROS (HIMAMAYLAN)'.
2022,2022-04-09,2022-04-13,AKLAN,KALIBO,600407000,FISHERIES,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TD AGATON 2022 INDUCED FLOODING,0.0,0.0,0.0,20.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",2590,Missing or zero Grand Total for PHP loss.
2022,2022-04-09,2022-04-13,ILOILO,SAN DIONISIO,603038000,FISHERIES,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TD AGATON 2022 INDUCED FLOODING,0.0,0.0,121.6,9.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",2817,Missing or zero Grand Total for PHP loss.
2022,2022-10-01,2022-12-31,GUIMARAS,BUENAVISTA,607901000,LIVESTOCK AND POULTRY,DISEASE,SWINE FEVER,AFRICAN SWINE FEVER (DEPOPULATED),0.0,0.0,21.0,10.0,0.0,0.0,0.0,Start date assumed as 1st of month. End date assumed as last day of month.,2883,Missing or zero Grand Total for PHP loss.
2023,2023-01-01,2023-11-10,GUIMARAS,BUENAVISTA,607901000,LIVESTOCK AND POULTRY,DISEASE,SWINE FEVER,AFRICAN SWINE FEVER (DEPOPULATED),0.0,0.0,117.0,10.0,0.0,0.0,0.0,Parsed as a standard date range.,2948,Missing or zero Grand Total for PHP loss.
2022,2022-10-26,2022-10-30,GUIMARAS,BUENAVISTA,607901000,HVC,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS PAENG 2022 (TROUGH) INDUCED FLOODING,0.24,0.03,0.26,15.0,1680.0,157625.0,159305.0,"Parsed from 'Month Day-Day, Year' format.",3199,Area inconsistency: Partial(0.24) + Totally(0.03) != Total(0.26).
2022,2022-10-26,2022-10-30,ANTIQUE,ANTIQUE ROS,,"AGRICULTURAL INFRASTRUCTURES (FARM STRUCTURES, ROS)",FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS PAENG 2022 (TROUGH) INDUCED FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,821250.0,"Parsed from 'Month Day-Day, Year' format.",3340,PSGC code not found for province/municipality: 'ANTIQUE' / 'ANTIQUE ROS'.
2022,2022-10-26,2022-10-30,ILOILO,ILOILO ROS,,"AGRICULTURAL INFRASTRUCTURES (FARM STRUCTURES, ROS)",FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS PAENG 2022 (TROUGH) INDUCED FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,"Parsed from 'Month Day-Day, Year' format.",3341,PSGC code not found for province/municipality: 'ILOILO' / 'ILOILO ROS'.
2022,2022-10-26,2022-10-30,NEGROS OCCIDENTAL,CALATRAVA,604505000,FISHERIES (AQUACULTURE),FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS PAENG 2022 (TROUGH) INDUCED FLOODING,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",3407,Missing or zero Grand Total for PHP loss.
2022,2022-10-26,2022-10-30,NEGROS OCCIDENTAL,SAN ENRIQUE,604525000,FISHERIES (AQUACULTURE),FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS PAENG 2022 (TROUGH) INDUCED FLOODING,0.0,0.0,0.0,4.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",3416,Missing or zero Grand Total for PHP loss.
2022,2022-10-26,2022-10-30,ILOILO,CONCEPCION,603015000,FISHERIES (CAPTURE FISHERIES),FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS PAENG 2022 (TROUGH) INDUCED FLOODING,0.0,0.0,10.0,10.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",3462,Missing or zero Grand Total for PHP loss.
2022,2022-10-26,2022-10-30,NEGROS OCCIDENTAL,HINOBA-AN,604512000,FISHERIES (CAPTURE FISHERIES),FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS PAENG 2022 (TROUGH) INDUCED FLOODING,0.0,0.0,44.0,44.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",3481,Missing or zero Grand Total for PHP loss.
2022,2022-10-26,2022-10-30,NEGROS OCCIDENTAL,SAN ENRIQUE,604525000,FISHERIES (CAPTURE FISHERIES),FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,STS PAENG 2022 (TROUGH) INDUCED FLOODING,0.0,0.0,5.0,5.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",3487,Missing or zero Grand Total for PHP loss.
2023,2023-07-24,2023-07-26,ANTIQUE,CALATRAVA,,CORN,FLOODING / TYPHOON / DRY SPELL,SOUTHWEST MONSOON,SOUTHWEST MONSOON/TY EGAY 2023 (TROUGH) INDUCED FLOODING,118.2,0.0,118.2,234.0,0.0,4696650.0,4696650.0,"Parsed from 'Month Day-Day, Year' format.",3655,PSGC code not found for province/municipality: 'ANTIQUE' / 'CALATRAVA'.
2023,2023-07-24,2023-07-26,ANTIQUE,HINOBA-AN,,CORN,FLOODING / TYPHOON / DRY SPELL,SOUTHWEST MONSOON,SOUTHWEST MONSOON/TY EGAY 2023 (TROUGH) INDUCED FLOODING,12.75,0.0,12.75,27.0,0.0,440269.0,440269.0,"Parsed from 'Month Day-Day, Year' format.",3656,PSGC code not found for province/municipality: 'ANTIQUE' / 'HINOBA-AN'.
2023,2023-07-24,2023-07-26,ANTIQUE,ISABELA,,CORN,FLOODING / TYPHOON / DRY SPELL,SOUTHWEST MONSOON,SOUTHWEST MONSOON/TY EGAY 2023 (TROUGH) INDUCED FLOODING,19.7,0.0,19.7,17.0,147325.0,164159.58,311484.58,"Parsed from 'Month Day-Day, Year' format.",3657,PSGC code not found for province/municipality: 'ANTIQUE' / 'ISABELA'.
2023,2023-07-24,2023-07-26,ANTIQUE,BINALBAGAN,,CORN,FLOODING / TYPHOON / DRY SPELL,SOUTHWEST MONSOON,SOUTHWEST MONSOON/TY EGAY 2023 (TROUGH) INDUCED FLOODING,45.4,0.0,45.4,51.0,0.0,1108200.0,1108200.0,"Parsed from 'Month Day-Day, Year' format.",3658,PSGC code not found for province/municipality: 'ANTIQUE' / 'BINALBAGAN'.
2023,2023-07-24,2023-07-26,ANTIQUE,LA CASTELLANA,,CORN,FLOODING / TYPHOON / DRY SPELL,SOUTHWEST MONSOON,SOUTHWEST MONSOON/TY EGAY 2023 (TROUGH) INDUCED FLOODING,22.65,0.0,22.65,59.0,27000.0,970730.0,997730.0,"Parsed from 'Month Day-Day, Year' format.",3659,PSGC code not found for province/municipality: 'ANTIQUE' / 'LA CASTELLANA'.
2023,2023-07-24,2023-07-26,ANTIQUE,CITY OF SAGAY,,CORN,FLOODING / TYPHOON / DRY SPELL,SOUTHWEST MONSOON,SOUTHWEST MONSOON/TY EGAY 2023 (TROUGH) INDUCED FLOODING,6.2,0.0,6.2,10.0,15438.46,39920.0,55358.46,"Parsed from 'Month Day-Day, Year' format.",3660,PSGC code not found for province/municipality: 'ANTIQUE' / 'CITY OF SAGAY'.
2023,2023-07-24,2023-07-26,ANTIQUE,MURCIA,,CORN,FLOODING / TYPHOON / DRY SPELL,SOUTHWEST MONSOON,SOUTHWEST MONSOON/TY EGAY 2023 (TROUGH) INDUCED FLOODING,46.5,0.0,46.5,84.0,0.0,1416744.0,1416744.0,"Parsed from 'Month Day-Day, Year' format.",3661,PSGC code not found for province/municipality: 'ANTIQUE' / 'MURCIA'.
2023,2023-07-24,2023-07-26,ANTIQUE,CITY OF BAGO,,CORN,FLOODING / TYPHOON / DRY SPELL,SOUTHWEST MONSOON,SOUTHWEST MONSOON/TY EGAY 2023 (TROUGH) INDUCED FLOODING,18.0,0.0,18.0,41.0,108750.0,22968.75,131718.75,"Parsed from 'Month Day-Day, Year' format.",3662,PSGC code not found for province/municipality: 'ANTIQUE' / 'CITY OF BAGO'.
2023,2023-07-24,2023-07-26,ANTIQUE,CITY OF SAN CARLOS,,CORN,FLOODING / TYPHOON / DRY SPELL,SOUTHWEST MONSOON,SOUTHWEST MONSOON/TY EGAY 2023 (TROUGH) INDUCED FLOODING,98.0,0.0,98.0,91.0,0.0,960830.0,960830.0,"Parsed from 'Month Day-Day, Year' format.",3663,PSGC code not found for province/municipality: 'ANTIQUE' / 'CITY OF SAN CARLOS'.
2023,2023-07-24,2023-07-26,ANTIQUE,CITY OF HIMAMAYLAN,,CORN,FLOODING / TYPHOON / DRY SPELL,SOUTHWEST MONSOON,SOUTHWEST MONSOON/TY EGAY 2023 (TROUGH) INDUCED FLOODING,206.0,0.0,206.0,187.0,0.0,12752640.0,12752640.0,"Parsed from 'Month Day-Day, Year' format.",3664,PSGC code not found for province/municipality: 'ANTIQUE' / 'CITY OF HIMAMAYLAN'.
2023,2023-07-24,2023-07-26,ILOILO,CITY OF ILOILO,631000000,HVC,FLOODING / TYPHOON / DRY SPELL,SOUTHWEST MONSOON,SOUTHWEST MONSOON/TY EGAY 2023 (TROUGH) INDUCED FLOODING,0.49,6.91,7.39,98.0,370545.0,333750.0,704295.0,"Parsed from 'Month Day-Day, Year' format.",3690,Area inconsistency: Partial(0.49) + Totally(6.91) != Total(7.39).
2023,2023-10-05,2024-06-05,CAPIZ,DUMALAG,601903000,RICE,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,LOCALIZED DRY SPELL,171.0,325.0,496.85,576.0,0.0,42554968.0,42554968.0,Parsed as a standard date range.,3995,Area inconsistency: Partial(171.0) + Totally(325.0) != Total(496.85).
